Animals,Plants,Average_Energy,Average_Lifetime,Average_Children
19,15,156.68421052631578,17.96747967479675,9.578947368421053
19,16,148.89473684210526,17.870967741935484,9.68421052631579
20,16,134.1,17.872,9.4
20,16,128.65,17.937007874015748,9.45
20,15,137.15,18.0546875,9.55
20,14,141.5,18.007751937984494,9.5
20,15,133.0,18.053846153846155,9.6
19,13,146.31578947368422,18.651515151515152,10.052631578947368
19,12,149.47368421052633,18.69402985074627,10.263157894736842
21,14,120.52380952380952,18.69402985074627,9.476190476190476
20,13,133.15,18.75735294117647,9.95
21,14,117.52380952380952,18.744525547445257,9.666666666666666
20,12,132.35,18.79136690647482,10.25
21,12,128.95238095238096,18.79136690647482,9.857142857142858
21,13,124.04761904761905,19.12857142857143,9.952380952380953
23,15,106.56521739130434,19.12857142857143,9.26086956521739
