Animals,Plants,Average_Energy,Average_Lifetime,Average_Children
15,19,123.73333333333333,24.718954248366014,12.133333333333333
14,19,127.57142857142857,24.81935483870968,12.857142857142858
14,18,130.42857142857142,24.73076923076923,13.0
8,18,222.375,24.233128834355828,22.5
7,17,279.42857142857144,24.26829268292683,25.714285714285715
6,18,339.1666666666667,24.43030303030303,30.0
7,20,280.0,24.43030303030303,26.0
8,19,264.375,24.43030303030303,23.0
7,18,327.2857142857143,24.289156626506024,26.285714285714285
7,18,338.57142857142856,24.289156626506024,26.285714285714285
6,18,391.6666666666667,24.24550898203593,30.5
6,19,388.6666666666667,24.24550898203593,30.5
6,18,419.0,24.24550898203593,30.5
7,17,365.7142857142857,24.24550898203593,26.428571428571427
8,18,312.375,24.24550898203593,23.375
9,18,277.8888888888889,24.24550898203593,21.0
9,18,286.0,24.24550898203593,21.0
9,19,277.22222222222223,24.13095238095238,21.0
10,19,252.5,24.13095238095238,19.1
11,19,232.9090909090909,24.13095238095238,17.545454545454547
11,19,236.8181818181818,24.08284023668639,17.454545454545453
9,19,285.77777777777777,23.88888888888889,21.333333333333332
7,19,364.14285714285717,23.826589595375722,27.428571428571427
7,19,375.42857142857144,23.826589595375722,27.428571428571427
6,19,451.5,23.902298850574713,31.833333333333332
6,19,448.5,23.902298850574713,31.833333333333332
6,18,495.5,23.902298850574713,31.833333333333332
6,17,525.8333333333334,23.902298850574713,31.833333333333332
7,18,452.14285714285717,23.902298850574713,27.571428571428573
8,18,398.75,23.902298850574713,24.375
9,18,358.6666666666667,23.902298850574713,21.88888888888889
9,18,366.77777777777777,23.902298850574713,21.88888888888889
9,18,374.8888888888889,23.902298850574713,21.88888888888889
7,19,478.2857142857143,23.806818181818183,28.0
6,19,571.5,23.76271186440678,32.666666666666664
6,19,585.1666666666666,23.76271186440678,32.666666666666664
6,19,582.1666666666666,23.76271186440678,32.666666666666664
6,19,579.1666666666666,23.76271186440678,32.666666666666664
6,18,626.1666666666666,23.76271186440678,32.666666666666664
6,19,623.1666666666666,23.76271186440678,32.666666666666664
6,19,636.8333333333334,23.76271186440678,32.666666666666664
6,19,633.8333333333334,23.76271186440678,32.666666666666664
7,20,515.5714285714286,23.76271186440678,28.285714285714285
8,19,457.0,23.76271186440678,25.0
